C,1.16216,0.096563,1,4,0.904009,1.01077,0
C,0.9,0.146457,1,2,0.172414,1.00901,0
C,0.972603,0.0748111,0,4,0,3.17766,8
C,0.930233,0.133479,0,4,0,1.36175,2
C,0.588235,0.152119,1,2,0.0841122,1.19355,2
C,0.846154,0.110613,0,2,0,1.93352,4
C,1.11364,0.115287,1,2,0.095518,1.2347,2
C,0.757576,0.103906,0,4,0,2.2488,6
C,0.319444,0.127783,0,2,0,2.31065,4
C,0.836879,0.10351,1,4,0.230671,1.38793,2
C,0.608392,0.117629,0,2,0,1.61638,4
C,0.983146,0.134923,1,4,0.268738,1.00972,0
C,0.454545,0.13568,0,2,0,1.6625,6
C,1.5,0.0934189,0,6,0,2,6
C,0.692308,0.131142,1,2,0.214511,1.11174,4
C,0.727273,0.10022,0,2,0,2.44685,4
C,0.675,0.0876616,0,4,0,2.33796,4
C,0.466667,0.192847,0,2,0,1.16981,6
C,1.07955,0.091854,1,4,0.866172,1.16241,2
C,0.763636,0.141344,0,2,0,1.69996,2
C,0.513274,0.169746,0,2,0,1.31244,8
C,1.12,0.141614,0,4,0,1.3804,4
C,0.96,0.128869,1,2,0.327684,1.02759,0
C,0.564516,0.136849,1,4,0.0526316,1.10614,2
C,0.972973,0.104914,0,4,0,2.23573,4
C,0.9,0.137337,1,2,0.254545,1.01786,0
C,0.816176,0.131217,1,2,0.0729353,1.18829,2
C,0.6,0.114461,1,4,0.369231,1.15335,2
C,0.604938,0.0701722,0,4,0,4.40708,6
C,0.896552,0.125895,1,2,0.0990476,1.21119,4
C,0.688889,0.123267,0,4,0,1.70569,5
C,0.885714,0.125474,1,2,0.0832178,1.20225,2
C,0.7,0.11306,1,4,0.11636,1.44033,2
C,0.871795,0.096002,1,4,0.134884,1.58962,2
C,0.6,0.133218,1,2,0.164251,1.16268,2
C,0.615385,0.113421,0,2,0,1.85315,4
C,0.744681,0.12843,0,2,0,1.55556,4
C,0.823529,0.140655,0,4,0,1.5244,4
C,0.741935,0.126934,1,2,0.263109,1.09631,2
C,0.887097,0.121672,1,2,0.479226,1.01006,0
C,0.854167,0.129314,1,2,0.0684932,1.13441,2
C,0.625,0.121626,1,4,0.311111,1.17895,4
C,0.428571,0.14374,0,2,0,2,6
C,0.885246,0.115509,1,2,0.170274,1.33019,4
C,0.777778,0.135982,1,2,0.12,1.09524,4
C,0.666667,0.177228,0,2,0,1.37621,4
C,0.864407,0.132636,0,2,0,1.77514,2
C,0.862069,0.0986068,1,4,0.254406,1.28785,4
C,0.517241,0.100871,1,4,0.198276,1.3304,2
C,0.921569,0.130177,0,4,0,1.62253,2
C,0.232877,0.191243,0,2,0,1.01772,0
C,0.733333,0.106572,0,2,0,2.05128,4
C,0.777778,0.134985,1,2,0.248447,1.02535,0
C,0.794118,0.11861,1,2,0.152429,1.25641,4
C,0.902439,0.0939126,0,4,0,2.59667,2
C,0.592179,0.0845652,0,2,0,3.41729,4
