C,1.16216,0.096563,1,4
C,0.972603,0.0748111,0,4
C,0.930233,0.133479,0,4
C,0.846154,0.110613,0,2
C,1.11364,0.115287,1,2
C,0.757576,0.103906,0,4
C,0.319444,0.127783,0,2
C,0.836879,0.10351,1,4
C,0.608392,0.117629,0,2
C,0.983146,0.134923,1,4
C,1.5,0.0934189,0,6
C,0.692308,0.131142,1,2
C,0.727273,0.10022,0,2
C,0.675,0.0876616,0,4
C,1.07955,0.091854,1,4
C,0.763636,0.141344,0,2
C,0.513274,0.169746,0,2
C,1.12,0.141614,0,4
C,0.96,0.128869,1,2
C,0.564516,0.136849,1,4
C,0.972973,0.104914,0,4
C,0.816176,0.131217,1,2
C,0.604938,0.0701722,0,4
C,0.896552,0.125895,1,2
C,0.688889,0.123267,0,4
C,0.885714,0.125474,1,2
C,0.7,0.11306,1,4
C,0.871795,0.096002,1,4
C,0.615385,0.113421,0,2
C,0.744681,0.12843,0,2
C,0.823529,0.140655,0,4
C,0.741935,0.126934,1,2
C,0.887097,0.121672,1,2
C,0.854167,0.129314,1,2
C,0.885246,0.115509,1,2
C,0.666667,0.177228,0,2
C,0.864407,0.132636,0,2
C,0.862069,0.0986068,1,4
C,0.517241,0.100871,1,4
C,0.921569,0.130177,0,4
C,0.733333,0.106572,0,2
C,0.794118,0.11861,1,2
C,0.902439,0.0939126,0,4
C,0.592179,0.0845652,0,2
C,0.71875,0.146901,0,4
C,1.13725,0.107222,1,4
C,0.822581,0.168731,0,2
C,0.736842,0.116833,0,2
C,0.858156,0.113617,0,4
C,0.968085,0.124088,0,4
C,0.853448,0.0958392,1,4
C,0.648148,0.0810104,2,4
C,0.636364,0.11094,1,2
C,0.821429,0.126398,1,4
C,0.794872,0.10332,0,2
C,0.575,0.109245,0,2
C,0.857143,0.16015,0,4
C,0.84,0.121434,1,2
C,1.32278,0.109738,0,6
C,0.914286,0.135856,1,2
C,1.12174,0.10001,0,4
C,0.767677,0.14429,0,4
C,0.705882,0.172131,0,2
C,1.33108,0.0968392,0,6
C,0.946237,0.142909,1,2
C,1,0.163722,0,4
C,0.263566,0.133497,0,2
C,0.78,0.117945,0,2
C,0.666667,0.0981656,0,4
C,0.131783,0.156104,0,2
C,0.558036,0.107804,0,4
C,0.558659,0.136602,0,4
C,0.956522,0.121903,0,4
C,0.721311,0.183525,0,2
C,0.871795,0.108735,0,4
